1,2,3,4,5,6,7,8,9,1
วันที่,จำนวนบิล,มูลค่า,คงเหลือ,จำนวนบิล,มูลค่า,ผลต่าง,SIGNATURE,หมายเหตุ,
2/11/2025,11,"34,880","34,880",11,"34,880",0,เกษ,,
3/11/2025,16,"89,590","89,590",16,"89,590",0,เหน่ง,,
4/11/2025,7,"16,950","16,950",7,"16,950",0,เหน่ง,,
5/11/2025,10,"103,250","103,250",10,"103,250",0,เกษ,,
6/11/2025,6,"19,925","19,925",6,"19,925",0,เกษ,,
7/11/2025,9,"26,900","26,900",9,"26,900",0,เกษ,,
8/11/2025,9,"36,500","36,500",9,"36,500",0,เกษ,,
9/11/2025,22,"29,330","29,330",22,"29,330",0,เกษ,,
10/11/2025,12,"140,530","140,530",12,"140,530",0,เหน่ง,,
11/11/2025,10,"112,790","112,790",10,"112,790",0,เกษ,,
12/11/2025,14,"91,990","91,990",14,"91,990",0,เกษ,,
13/11/2025,11,"111,950","111,950",11,"111,950",0,เกษ,,
14/11/2025,7,"20,180","20,180",7,"20,180",0,เหน่ง,,
15/11/2025,8,"24,510","24,510",8,"24,510",0,เกษ,,
16/11/2025,14,"44,325","44,325",14,"44,325",0,เกษ,,
17/11/2025,16,"35,340","35,340",16,"35,340",0,เกษ,,
18/11/2025,24,"141,290","141,290",24,"141,290",0,เหน่ง,,
19/11/2025,13,"83,600","83,600",13,"83,600",0,เกษ,,
20/11/2025,13,"39,000","39,000",13,"39,000",0,เกษ,,
21/11/2025,12,"61,020","61,020",12,"61,020",0,เหน่ง,,
22/11/2025,22,"134,590","134,590",22,"134,590",0,เกษ,,
23/11/2025,12,"68,770","68,770",12,"68,770",0,เหน่ง,,
24/11/2025,15,"93,600","93,600",15,"93,600",0,เหน่ง,,
25/11/2025,12,"64,890","64,890",12,"64,890",0,เหน่ง,,
26/11/2025,7,"20,550","20,550",7,"20,550",0,เกษ,,
27/11/2025,19,"94,690","94,690",19,"94,690",0,เกษ,,
28/11/2025,28,"95,890","95,890",28,"95,890",0,เหน่ง,"ยกเลิกบิง 27/11/68 ยอด 9,600บาท รับจริง 95,890บาท",
29/11/2025,28,"94,080","94,080",28,"94,080",0,เกษ,,
30/11/2025,32,"637,620","637,620",32,"637,620",0,เกษ,,
1/12/2025,16,"61,880","61,880",16,"61,880",0,เกษ,,
2/12/2025,16,"69,750","69,750",16,"69,750",0,เหน่ง,,
3/12/2025,19,"87,150","87,150",19,"87,150",0,เกษ,,
4/12/2025,22,"126,450","126,450",22,"126,450",0,เหน่ง,,
5/12/2025,,,,,,0,,วันพ่อแห่งชาติ,
6/12/2025,29,"98,975","98,975",29,"98,975",0,เกษ,,
7/12/2025,15,"131,030","131,030",15,"131,030",0,เกษ,"ผลต่าง 2,900  บาท  บิลวันที่  6/12/68 STHBKK012512000102",
8/12/2025,15,"34,200","34,200",15,"34,200",0,เหน่ง,,
9/12/2025,25,"97,640","97,640",25,"97,640",0,เหน่ง,,
10/12/2025,,,,,,,,วันหยุดนักขัตฤกษ์,
11/12/2025,,,,,,,,ระบบขัดข้อง(ยอดรวมกับวันที่ 12/12/68),
12/12/2025,42,"173,820","173,820",42,"173,820",0,เหน่ง,,
13/12/2025,27,"293,610","293,610",27,"293,610",0,เหน่ง,,
14/12/2025,16,"47,990","47,990",16,"47,990",0,เหน่ง,,
15/12/2025,20,"118,890","118,890",20,"118,890",0,เกษ,,
16/12/2025,14,"48,950","48,950",14,"48,950",0,เกษ,,
17/12/2025,21,"101,060","101,060",21,"101,060",0,เกษ,,
18/12/2025,12,"34,300","34,300",12,"34,300",0,เหน่ง,,
19/12/2025,16,"109,900","109,900",16,"109,900",0,เหน่ง,,
20/12/2025,17,"115,980","115,980",17,"115,980",0,เหน่ง,,
21/12/2025,24,"120,230","120,230",24,"120,230",0,เกษ,,
22/12/2025,24,"87,925","87,925",24,"87,925",0,เหน่ง,,
23/12/2025,23,"89,065","89,065",23,"89,065",0,เหน่ง,,
24/12/2025,27,"171,380","171,380",27,"171,380",0,เกษ,,
25/12/2025,23,"66,030","66,030",23,"66,030",0,เกษ,,
26/12/2025,14,"68,580","68,580",14,"68,580",0,เหน่ง,,
27/12/2025,24,"448,650","448,650",24,"448,650",0,เกษ,,
28/12/2025,21,"108,710","108,710",21,"108,710",0,เหน่ง,,
29/12/2025,27,"100,640","100,640",27,"100,640",0,เหน่ง,,
30/12/2025,22,"80,190","80,190",22,"80,190",0,เกษ,,
31/12/2025,,,,,,,,หยุดปีใหม่,
1/1/2026,,,,,,,,หยุดปีใหม่,
2/1/2026,,,,,,,,หยุดปีใหม่,
3/1/2026,,,,,,,,หยุดปีใหม่,
4/1/2026,,,,,,,,หยุดปีใหม่,
4/1/2026,55,"237,605","237,605",55,"237,605",0,เหน่ง,,
6/1/2026,30,"411,480","411,480",30,"411,480",0,เหน่ง,,
7/1/2026,22,"75,300","75,300",22,"75,300",0,เกษ,,
8/1/2026,14,"36,250","36,250",14,"36,250",0,เหน่ง,,
9/1/2026,25,"93,070","93,070",25,"93,070",0,เหน่ง,,
10/1/2026,19,"90,250","90,250",19,"90,250",0,เกษ,,
11/1/2026,30,"122,440","122,440",30,"122,440",0,เหน่ง,,
12/1/2026,19,"78,680","78,680",19,"78,680",0,เหน่ง,,
13/1/2026,22,"189,290","189,290",22,"189,290",0,เหน่ง,,
14/1/2026,30,"103,750","103,750",30,"103,750",0,เกษ,,
15/1/2026,34,"104,550","104,550",34,"104,550",0,เหน่ง,,
16/1/2026,29,"163,980","163,980",29,"163,980",0,เหน่ง,,
17/1/2026,24,"98,040","98,040",24,"98,040",0,เกษ,,
18/1/2026,26,"58,280","58,280",26,"58,280",0,เกษ,,
19/1/2026,21,"92,590","92,590",21,"92,590",0,เกษ,,
20/1/2026,21,"74,590","74,590",21,"74,590",0,เหน่ง,,
21/1/2026,11,"97,700","97,700",11,"97,700",0,เกษ,,
22/1/2026,18,"187,780","187,780",18,"187,780",0,เหน่ง,,
23/1/2026,16,"122,630","122,630",16,"122,630",0,เหน่ง,,
24/1/2026,12,"25,700","25,700",12,"25,700",0,เหน่ง,,
25/1/2026,17,"25,680","25,680",17,"25,680",0,เกษ,,
26/1/2026,18,"91,840","91,840",18,"91,840",0,เหน่ง,,
27/1/2026,24,"112,340","112,340",24,"112,340",0,เหน่ง,,
28/1/2026,26,"194,370","194,370",26,"194,370",0,เกษ,,
29/1/2026,20,"80,680","80,680",20,"80,680",0,เหน่ง,,
30/1/2026,42,"117,530","117,530",42,"117,530",0,เหน่ง,,
31/1/2026,51,"353,180","353,180",51,"353,180",0,เหน่ง,,
